#session_id	session_type	unit	ecephys_structure_acronym	stimulus	stimulus_blocks	block_durations	rec_len	firing_rates	ret_msg
766640955	functional_connectivity	950914221	VISam	natural_movie_one_more_repeats	3.0	900.75	898.04	1.73	SUCCESS
766640955	functional_connectivity	950914221	VISam	natural_movie_one_more_repeats	8.0	900.75	898.11	1.55	SUCCESS
766640955	functional_connectivity	950914271	VISam	natural_movie_one_more_repeats	3.0	900.75	900.49	3.11	SUCCESS
766640955	functional_connectivity	950914271	VISam	natural_movie_one_more_repeats	8.0	900.75	900.03	2.85	SUCCESS
766640955	functional_connectivity	950914263	VISam	natural_movie_one_more_repeats	3.0	900.75	900.03	7.67	SUCCESS
766640955	functional_connectivity	950914263	VISam	natural_movie_one_more_repeats	8.0	900.75	900.4	8.05	SUCCESS
766640955	functional_connectivity	950914406	VISam	natural_movie_one_more_repeats	3.0	900.75	900.55	7.6	SUCCESS
766640955	functional_connectivity	950914406	VISam	natural_movie_one_more_repeats	8.0	900.75	900.51	7.03	SUCCESS
766640955	functional_connectivity	950914396	VISam	natural_movie_one_more_repeats	3.0	900.75	881.18	1.07	SUCCESS
766640955	functional_connectivity	950914396	VISam	natural_movie_one_more_repeats	8.0	900.75	897.58	0.44	SUCCESS
766640955	functional_connectivity	950914595	VISam	natural_movie_one_more_repeats	3.0	900.75	900.38	4.0	SUCCESS
766640955	functional_connectivity	950914595	VISam	natural_movie_one_more_repeats	8.0	900.75	898.27	4.79	SUCCESS
766640955	functional_connectivity	950914573	VISam	natural_movie_one_more_repeats	3.0	900.75	900.74	21.91	SUCCESS
766640955	functional_connectivity	950914573	VISam	natural_movie_one_more_repeats	8.0	900.75	900.71	22.38	SUCCESS
766640955	functional_connectivity	950914624	VISam	natural_movie_one_more_repeats	3.0	900.75	899.95	0.39	SUCCESS
766640955	functional_connectivity	950914624	VISam	natural_movie_one_more_repeats	8.0	900.75	900.02	0.96	SUCCESS
766640955	functional_connectivity	950915995	LP	natural_movie_one_more_repeats	3.0	900.75	861.06	5.73	SUCCESS
766640955	functional_connectivity	950915995	LP	natural_movie_one_more_repeats	8.0	900.75	900.09	3.34	SUCCESS
766640955	functional_connectivity	950916099	LP	natural_movie_one_more_repeats	3.0	900.75	900.46	4.11	SUCCESS
766640955	functional_connectivity	950916099	LP	natural_movie_one_more_repeats	8.0	900.75	898.72	8.93	SUCCESS
766640955	functional_connectivity	950931063	LP	natural_movie_one_more_repeats	3.0	900.75	899.9	5.68	SUCCESS
766640955	functional_connectivity	950931063	LP	natural_movie_one_more_repeats	8.0	900.75	900.02	9.06	SUCCESS
